"title","author","avg_ratings","num_ratings","num_reviews","pages","original_publish_year","places","awards","genres","Field14"
"The Stranger","Albert Camus","3.99","755,437  ","25,277    ","123 ","(1942)","Literary Awards                                  PEN Translation Prize for Matthew Ward (1989)",,"Classics                                                             Fiction                                                             Philosophy                                                               Cultural >        France                                                             Literature                                                             Novels                                                               European Literature >        French Literature                                                               Academic >        School                                                               Literature >        th Century                                                             Literary Fiction                                             ","Meursault, Raymond Sintès, Marie Cardona, Salamano"
"Goodnight Moon","Margaret Wise Brown","4.28","320,385  ","6,076    ","60th Anniversary Edition","(September 3rd 1947)","Other Editions (146)","All Editions | Add a New Edition | Combine","Childrens                                                               Childrens >        Picture Books                                                             Classics                                                             Fiction                                                             Poetry                                                             Kids                                                             Animals                                                               Childrens >        Juvenile                                                             Young Adult                                                               Childrens >        Storytime                                             ","English"
"A Tree Grows in Brooklyn","Betty  Smith","4.27","400,612  ","21,559    ","Deckle Page Edition","(August 18th 1943)","Williamsburg, Brooklyn, New York(United States)        New York City, New York(United States)        United States of America        …more          New York State(United States)        …less","Audie Award for Classic (2002)","Classics                                                             Fiction                                                               Historical >        Historical Fiction                                                             Young Adult                                                               Young Adult >        Coming Of Age                                                             Historical                                                             Literature                                                             New York                                                             Novels                                                             Book Club                                             ","English"
"War and Peace","Leo Tolstoy","4.12","275,676  ","12,316    ","Oxford World's Classics","(1865)","Russia        Slavkov u Brna (Austerlitz),1805(Czech Republic)        Saint Petersburg(Russian Federation)        …more          Olomuc (Olmütz),1805(Czech Republic)                  Moscow(Russian Federation)        …less",,"Classics                                                             Fiction                                                               Historical >        Historical Fiction                                                               Cultural >        Russia                                                             Literature                                                               Literature >        Russian Literature                                                             War                                                             Novels                                                             Historical                                                               Literature >        th Century                                             ","Война и мир (4 volumes) #1–4"
"Harry Potter and the Chamber of Secrets","J.K. Rowling","4.43","2,905,100  ","56,507    ","First American Edition","(July 2nd 1998)","Characters                                  Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley...more, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Gilderoy Lockhart, Lucius Malfoy, Pomona Sprout, Arthur Weasley, Molly Weasley, Cornelius Fudge, Poppy Pomfrey, Oliver Wood, Dobby, Parvati Patil, Dean Thomas, James Potter, Seamus Finnigan, Rolanda Hooch, Katie Bell, Albus Dumbledore, Harry Potter, Hermione Granger...less",,"Fantasy                                                             Young Adult                                                             Fiction                                                               Fantasy >        Magic                                                             Childrens                                                               Childrens >        Middle Grade                                                             Adventure                                                             Audiobook                                                             Classics                                                             Science Fiction Fantasy                                             ","English"
"The Little House Collection","Laura Ingalls Wilder","4.34","144,542  ","2,264    ","Box Set","(1971)","Other Editions (17)","All Editions | Add a New Edition | Combine","Classics                                                               Historical >        Historical Fiction                                                             Childrens                                                             Fiction                                                             Young Adult                                                             Historical                                                               Childrens >        Middle Grade                                                               Childrens >        Juvenile                                                             Literature                                                             Kids                                             ","English"
"A Clockwork Orange","Anthony Burgess","3.99","623,937  ","14,628    ","213 ","(1962)","England(United Kingdom)","Prometheus Hall of Fame Award (2008)","Classics                                                             Fiction                                                             Science Fiction                                                               Science Fiction >        Dystopia                                                             Literature                                                             Novels                                                             Horror                                                             Thriller                                                               Mystery >        Crime                                                               Classics >        Modern Classics                                             ","English"
"All Quiet on the Western Front","Erich Maria Remarque","3.99","367,346  ","11,116    ","296 ","(1929)","Setting",,"Classics                                                             Fiction                                                               Historical >        Historical Fiction                                                             War                                                             Historical                                                             Literature                                                               European Literature >        German Literature                                                               Academic >        School                                                               War >        World War I                                                             Novels                                             ","English"
"The Stand","Stephen King","4.34","646,440  ","22,442    ","Complete & Uncut Edition","(October 3rd 1978)","United States of America        New York City, New York,1990(United States)        Boulder, Colorado,1990(United States)        …more          Las Vegas, Nevada,1990(United States)                  Arnett, Texas,1990(United States)                  Pennsylvania,1990(United States)                  Arkansas,1990(United States)                  Arizona,1990(United States)                  Nevada(United States)                  Idaho,1990(United States)                  Boulder, Colorado,1980(United States)                  Ogunquit, Maine(United States)        …less","Locus Award Nominee for Best SF Novel (1979), World Fantasy Award Nominee for Best Novel (1979), Gandalf Award Nominee (1979), Balrog Award Nominee for Best Novel (1979) (1980)","Horror                                                             Fiction                                                             Fantasy                                                             Science Fiction                                                               Apocalyptic >        Post Apocalyptic                                                             Thriller                                                               Science Fiction >        Dystopia                                                               Science Fiction >        Apocalyptic                                                             Audiobook                                                             Classics                                             ","English"
"Uncle Tom's Cabin","Harriet Beecher Stowe","3.88","204,441  ","8,146    ","438 ","(1851)",,,"Classics                                                             Fiction                                                               Historical >        Historical Fiction                                                             Literature                                                             Historical                                                               Literature >        American                                                             Novels                                                               Classics >        Classic Literature                                                               Literature >        th Century                                                               Academic >        School                                             ","Uncle Tom, Simon Legree, Topsy, Evangeline St. Claire, Eliza Harris...more, George Harris, Augustine St. Clare, Ophelia St. Claire, George Shelby, Tom Loker, Cassy (Uncle Tom's Cabin), Aunt Chloe...less"
"Don Quixote","Miguel de Cervantes Saavedra","3.88","221,265  ","8,660    ","Penguin Classics","(1605)","La Mancha(Spain)        Barcelona, Catalonia(Spain)        Spain","Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium & Best Humor Publication (2014), Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Ισπανόφωνη Λογοτεχνία (2010), Premio de traducción literaria Valle Inclán for John Rutherford (2002)","Classics                                                             Fiction                                                             Literature                                                               European Literature >        Spanish Literature                                                             Adventure                                                             Novels                                                               Historical >        Historical Fiction                                                               Cultural >        Spain                                                             Humor                                                               Classics >        Classic Literature                                             ","English"
"القرآن الكريم","Anonymous","4.35","59,049  ","3,146    ","604 ",,,,"Religion                                                               Religion >        Islam                                                             Nonfiction                                                             Classics                                                             Philosophy                                                             Reference                                                             Spirituality                                                             History                                                               Religion >        Theology                                                               Fantasy >        Mythology                                             ","Moses (Bible), Jesus, Abraham (Bible), Adam (Bible), Mary (mother of Jesus)"
"Atlas Shrugged","Ayn Rand","3.69","361,728  ","17,828    ","1078 ","(1957)",,,"Fiction                                                             Classics                                                             Philosophy                                                             Literature                                                             Politics                                                             Science Fiction                                                             Novels                                                               Science Fiction >        Dystopia                                                             Economics                                                             Business                                             ","English"
"The Brothers Karamazov","Fyodor Dostoyevsky","4.32","255,584  ","11,994    ","796 ","(November 18th 1879)","Setting",,"Classics                                                             Fiction                                                               Cultural >        Russia                                                             Literature                                                               Literature >        Russian Literature                                                             Philosophy                                                             Novels                                                               Literature >        th Century                                                               Classics >        Classic Literature                                                             Religion                                             ","English"
